,AAVEUSDT,ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ENAUSDT,ETHUSDT,LINKUSDT,LTCUSDT,PAXGUSDT,PEPEUSDT,PUMPUSDT,SOLUSDT,SUIUSDT,TONUSDT,TRXUSDT,UNIUSDT,XRPUSDT,ZECUSDT
2023-01-01 00:00:00+00:00,52.2,0.2499,10.87,96.8,244.4,16616.75,0.07024,,1200.34,5.628,70.91,1824.0,,,9.99,,,0.05481,5.248,0.3387,37.2
2023-01-02 00:00:00+00:00,53.0,0.2538,11.16,99.3,245.2,16672.87,0.0714,,1214.0,5.691,74.74,1823.0,,,11.28,,,0.05517,5.371,0.3482,39.5
2023-01-03 00:00:00+00:00,53.0,0.2529,11.38,99.6,246.1,16675.18,0.07049,,1214.55,5.621,75.57,1841.0,,,13.37,,,0.05483,5.379,0.3436,40.1
2023-01-04 00:00:00+00:00,56.9,0.2678,12.08,101.5,258.9,16850.36,0.07311,,1256.9,5.809,75.46,1852.0,,,13.43,,,0.05477,5.532,0.3472,40.7
2023-01-05 00:00:00+00:00,55.4,0.2692,11.74,101.2,256.7,16831.85,0.07152,,1251.24,5.66,74.25,1835.0,,,13.43,,,0.05374,5.377,0.338,39.8
2023-01-06 00:00:00+00:00,56.4,0.2786,11.78,101.7,259.9,16950.65,0.07241,,1269.14,5.712,75.91,1853.0,,,13.5,,,0.05249,5.52,0.3443,41.4
2023-01-07 00:00:00+00:00,56.0,0.2768,11.75,101.4,261.3,16943.57,0.07219,,1264.07,5.83,76.4,1860.0,,,13.1,,,0.05201,5.414,0.3442,41.5
2023-01-08 00:00:00+00:00,59.3,0.2974,12.09,103.7,274.9,17127.83,0.07363,,1290.16,5.963,78.68,1858.0,,,14.45,,,0.05439,5.58,0.3452,42.7
2023-01-09 00:00:00+00:00,61.1,0.3168,12.19,106.9,272.6,17178.26,0.07566,,1320.39,6.065,81.62,1862.0,,,16.25,,,0.05461,5.79,0.349,43.1
2023-01-10 00:00:00+00:00,61.9,0.3222,12.73,107.4,277.1,17440.66,0.07782,,1335.62,6.166,80.83,1865.0,,,16.2,,,0.05486,5.781,0.3507,44.0
