,AAVEUSDT,ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ENAUSDT,ETHUSDT,LINKUSDT,LTCUSDT,PAXGUSDT,PEPEUSDT,SOLUSDT,SUIUSDT,TONUSDT,TRXUSDT,UNIUSDT,XRPUSDT,ZECUSDT
2024-10-01 00:00:00+00:00,158.31,0.3774,27.98,340.6,571.9,63531.99,0.11575,0.3809,2618.82,11.98,67.39,2641.0,1.061e-05,154.17,1.8169,5.738,0.1563,7.54,0.6202,28.11
2024-10-01 01:00:00+00:00,157.57,0.3778,28.05,340.8,573.5,63458.0,0.11646,0.3856,2621.62,11.97,67.62,2641.0,1.068e-05,154.34,1.8559,5.738,0.1559,7.523,0.6218,27.94
2024-10-01 02:00:00+00:00,157.66,0.3787,28.17,342.9,573.6,63443.76,0.11678,0.3821,2619.73,12.04,67.82,2639.0,1.066e-05,153.89,1.8585,5.763,0.156,7.489,0.6225,28.07
2024-10-01 03:00:00+00:00,159.23,0.382,28.4,344.8,576.9,63723.48,0.11773,0.3938,2629.83,12.1,67.9,2640.0,1.088e-05,155.09,1.8936,5.802,0.1564,7.639,0.6231,28.35
2024-10-01 04:00:00+00:00,160.07,0.3826,28.53,344.7,581.4,63868.94,0.11834,0.3912,2644.6,12.17,68.14,2641.0,1.097e-05,155.73,1.8866,5.818,0.1565,7.675,0.6194,28.39
2024-10-01 05:00:00+00:00,161.73,0.382,28.36,344.9,580.0,63749.99,0.11787,0.3833,2639.9,12.14,67.9,2642.0,1.092e-05,155.47,1.8871,5.791,0.1566,7.67,0.6216,28.23
2024-10-01 06:00:00+00:00,164.2,0.3847,28.69,346.6,582.1,64033.98,0.11876,0.3841,2656.4,12.24,68.17,2645.0,1.128e-05,156.84,1.8526,5.819,0.1565,7.787,0.6233,28.53
2024-10-01 07:00:00+00:00,164.03,0.3841,28.59,346.0,581.1,64045.92,0.11861,0.382,2645.61,12.21,68.21,2645.0,1.124e-05,156.79,1.8555,5.816,0.1566,7.758,0.6285,28.58
2024-10-01 08:00:00+00:00,163.22,0.3838,28.64,344.8,580.3,63956.0,0.11803,0.378,2640.99,12.15,68.17,2645.0,1.121e-05,156.37,1.8716,5.804,0.1566,7.814,0.6275,28.43
2024-10-01 09:00:00+00:00,162.31,0.3835,28.65,344.1,578.3,63864.46,0.11811,0.378,2635.18,12.15,68.43,2646.0,1.12e-05,156.82,1.8851,5.832,0.1569,7.732,0.63,28.4
2024-10-01 10:00:00+00:00,162.66,0.3856,28.86,344.3,579.3,63910.12,0.11872,0.3815,2638.02,12.2,68.43,2645.0,1.128e-05,157.11,1.8896,5.827,0.1568,7.761,0.6325,28.47
2024-10-01 11:00:00+00:00,163.18,0.3843,28.66,343.1,577.4,63734.0,0.11809,0.3788,2628.87,12.16,68.11,2647.0,1.121e-05,156.46,1.892,5.805,0.1568,7.685,0.6287,28.42
2024-10-01 12:00:00+00:00,163.03,0.3847,28.63,341.4,577.6,63668.21,0.11756,0.3761,2621.85,12.08,68.06,2650.0,1.121e-05,156.07,1.884,5.795,0.1569,7.685,0.6293,28.47
2024-10-01 13:00:00+00:00,158.19,0.3766,27.96,336.2,568.6,62866.8,0.11482,0.3661,2580.7,11.91,67.17,2660.0,1.091e-05,153.72,1.8724,5.688,0.1562,7.422,0.6184,28.35
2024-10-01 14:00:00+00:00,153.61,0.3684,27.1,330.8,561.5,62598.0,0.11169,0.3558,2549.54,11.61,65.87,2659.0,1.062e-05,150.8,1.7768,5.523,0.1556,7.242,0.6109,27.99
2024-10-01 15:00:00+00:00,151.23,0.3664,26.69,328.0,561.5,62628.85,0.11068,0.3711,2524.81,11.43,65.29,2661.0,1.068e-05,149.61,1.7958,5.468,0.1549,7.196,0.612,27.83
2024-10-01 16:00:00+00:00,150.23,0.3626,26.53,325.8,556.5,62448.0,0.10924,0.3684,2509.78,11.36,64.62,2673.0,1.05e-05,148.5,1.7821,5.458,0.1548,7.082,0.6063,27.5
2024-10-01 17:00:00+00:00,150.07,0.3566,26.35,323.3,551.9,62151.99,0.10786,0.3669,2505.99,11.23,64.1,2667.0,1.046e-05,147.67,1.7745,5.414,0.1539,7.068,0.597,26.92
2024-10-01 18:00:00+00:00,149.68,0.3568,26.17,322.1,551.0,61987.99,0.10787,0.3622,2502.0,11.15,64.06,2666.0,1.022e-05,147.35,1.7442,5.373,0.1541,7.057,0.6204,26.77
