,AAVEUSDT,ADAUSDT,AVAXUSDT,BCHUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,ENAUSDT,ETHUSDT,LINKUSDT,LTCUSDT,PAXGUSDT,PEPEUSDT,PUMPUSDT,SOLUSDT,SUIUSDT,TONUSDT,TRXUSDT,UNIUSDT,XRPUSDT,ZECUSDT
2024-01-01 00:00:00+00:00,110.42,0.5979,38.94,259.9,314.4,42475.23,0.08983,,2295.51,15.122,73.06,2031.0,1.3e-06,,101.96,0.7816,,0.10832,7.313,0.6162,27.14
2024-01-01 01:00:00+00:00,111.45,0.6023,39.39,260.6,315.3,42613.56,0.09016,,2303.72,15.167,73.34,2030.0,1.32e-06,,104.12,0.7862,,0.1082,7.352,0.6185,27.23
2024-01-01 02:00:00+00:00,110.32,0.5995,39.04,260.0,310.9,42581.1,0.0898,,2293.02,15.065,73.16,2029.0,1.31e-06,,103.69,0.7816,,0.10781,7.307,0.6154,27.0
2024-01-01 03:00:00+00:00,108.73,0.5956,38.51,258.3,309.2,42330.49,0.08921,,2273.81,14.931,72.67,2028.0,1.29e-06,,103.07,0.7702,,0.10711,7.218,0.613,26.71
2024-01-01 04:00:00+00:00,108.77,0.5953,38.21,257.2,309.2,42399.99,0.0891,,2279.55,14.92,72.53,2029.0,1.27e-06,,102.62,0.7634,,0.10654,7.226,0.6116,26.67
2024-01-01 05:00:00+00:00,108.48,0.5921,38.11,255.9,308.7,42234.01,0.089,,2275.89,14.983,72.18,2028.0,1.27e-06,,101.64,0.7585,,0.10628,7.198,0.6087,26.49
2024-01-01 06:00:00+00:00,109.05,0.5977,38.33,259.4,309.7,42396.69,0.08948,,2281.9,15.069,72.85,2028.0,1.29e-06,,102.34,0.7698,,0.10662,7.262,0.6127,26.6
2024-01-01 07:00:00+00:00,109.62,0.5991,38.53,266.0,310.6,42492.46,0.08965,,2284.67,15.219,73.19,2028.0,1.3e-06,,102.51,0.7703,,0.10698,7.298,0.615,26.74
2024-01-01 08:00:00+00:00,109.82,0.5994,38.77,264.9,311.3,42549.99,0.08957,,2287.01,15.223,73.22,2028.0,1.3e-06,,102.48,0.7755,,0.10719,7.292,0.6161,27.01
2024-01-01 09:00:00+00:00,109.98,0.6015,39.63,263.9,312.3,42649.69,0.08974,,2299.8,15.29,73.32,2029.0,1.31e-06,,104.03,0.7764,,0.10702,7.305,0.6175,26.97
2024-01-01 10:00:00+00:00,110.27,0.6024,39.52,265.0,309.8,42691.1,0.09003,,2302.04,15.31,73.35,2029.0,1.32e-06,,104.14,0.7828,,0.10695,7.314,0.6188,26.86
2024-01-01 11:00:00+00:00,110.67,0.6031,39.52,264.3,309.5,42690.2,0.08995,,2304.47,15.297,73.24,2034.0,1.31e-06,,104.32,0.7844,,0.10694,7.32,0.6205,26.89
2024-01-01 12:00:00+00:00,111.23,0.6047,39.67,262.4,309.4,42648.38,0.09023,,2299.43,15.221,73.24,2030.0,1.32e-06,,104.76,0.7815,,0.10691,7.296,0.6196,26.98
2024-01-01 13:00:00+00:00,111.15,0.6037,39.58,264.4,310.8,42715.54,0.09055,,2304.16,15.265,73.62,2033.0,1.33e-06,,105.31,0.7825,,0.10709,7.344,0.621,27.07
2024-01-01 14:00:00+00:00,110.47,0.6018,39.53,266.0,309.9,42612.24,0.0906,,2300.99,15.21,73.33,2030.0,1.32e-06,,104.39,0.7815,,0.1069,7.337,0.6193,27.11
2024-01-01 15:00:00+00:00,112.46,0.6059,40.15,264.2,312.5,42783.05,0.09106,,2314.7,15.307,73.69,2031.0,1.34e-06,,105.98,0.8047,,0.1072,7.491,0.6213,27.26
2024-01-01 16:00:00+00:00,112.43,0.6034,39.99,263.5,311.5,42725.15,0.09112,,2309.89,15.314,73.48,2029.0,1.33e-06,,106.64,0.8186,,0.10688,7.451,0.6209,27.35
2024-01-01 17:00:00+00:00,112.66,0.6058,40.06,264.2,312.5,42812.7,0.09119,,2313.76,15.269,73.65,2029.0,1.34e-06,,107.09,0.8263,,0.10704,7.494,0.6232,27.54
2024-01-01 18:00:00+00:00,113.57,0.6097,40.5,265.5,311.4,43111.1,0.09127,,2326.9,15.411,73.98,2031.0,1.34e-06,,107.88,0.8263,,0.10729,7.539,0.6237,27.64
2024-01-01 19:00:00+00:00,113.83,0.6185,41.05,266.8,311.8,43517.99,0.09181,,2337.26,15.455,74.15,2031.0,1.35e-06,,108.81,0.838,,0.10755,7.61,0.6258,27.71
2024-01-01 20:00:00+00:00,114.12,0.6193,41.19,265.9,312.4,43687.86,0.09153,,2340.98,15.472,74.21,2033.0,1.38e-06,,107.88,0.8416,,0.10767,7.565,0.6276,27.77
2024-01-01 21:00:00+00:00,113.91,0.6175,41.18,265.3,312.2,43619.21,0.09175,,2337.83,15.452,74.24,2032.0,1.37e-06,,108.04,0.8424,,0.10753,7.548,0.6282,27.78
2024-01-01 22:00:00+00:00,114.5,0.619,41.3,265.7,313.6,43529.93,0.0915,,2334.21,15.466,74.39,2034.0,1.39e-06,,108.09,0.8424,,0.10758,7.569,0.6269,27.75
2024-01-01 23:00:00+00:00,116.17,0.6232,41.94,267.8,313.5,44179.55,0.09199,,2352.04,15.548,74.72,2029.0,1.41e-06,,109.91,0.8438,,0.10772,7.6,0.6294,27.78
2024-01-02 00:00:00+00:00,118.01,0.6336,42.49,269.6,317.8,45056.0,0.09324,,2387.58,15.756,75.38,2034.0,1.43e-06,,110.54,0.8417,,0.10812,7.657,0.6314,28.2
2024-01-02 01:00:00+00:00,119.3,0.6278,42.14,267.4,317.5,44855.96,0.09274,,2378.08,15.718,75.09,2037.0,1.43e-06,,111.05,0.8669,,0.10817,7.637,0.6323,28.03
2024-01-02 02:00:00+00:00,119.36,0.6321,42.1,267.3,318.1,45378.96,0.09294,,2382.95,15.824,75.26,2034.0,1.42e-06,,111.92,0.8692,,0.10816,7.649,0.634,27.99
2024-01-02 03:00:00+00:00,118.02,0.6302,42.08,266.6,319.2,45402.38,0.09309,,2386.43,15.7,75.09,2038.0,1.43e-06,,111.41,0.8773,,0.10827,7.638,0.6339,27.99
2024-01-02 04:00:00+00:00,117.54,0.6276,42.4,267.4,318.9,45179.8,0.09311,,2387.66,15.85,75.02,2039.0,1.42e-06,,112.46,0.911,,0.10833,7.703,0.6334,27.97
2024-01-02 05:00:00+00:00,116.15,0.6261,42.76,268.3,317.6,45179.48,0.09282,,2377.48,15.789,74.68,2038.0,1.4e-06,,112.61,0.8852,,0.10847,7.617,0.6301,27.9
